Text,CB_Label,clean_text
that is NOT fucking cool how dare she say that.i hate racist pigs! you guys are great ppl and im sorry ppl take advantage of that!,0,fuck cool dare thati hate racist pig ! guy great ppl m sorry ppl advantage !
http://twitpic.com/yn2s - you are SUCH a nerd baby...suriously....,0,url nerd babysuriously
 feeling rusty myself  just got my ass well and truly kicked!!,0,feel rusty get ass truly kick ! !
needs her ass kicked - this is 4 car events in 18 months and keep getting worse,0,need ass kick car event month get bad
damn dude!,0,damn dude !
FUCK ME !,0,fuck !
Damn  hope you getz better soon !!!,0,damn hope getz well soon ! !
Ah shut down is a common fuck up on OS X86  make sure you do a -v -f at darwin !,0,ah shut common fuck os x sure v f darwin !
Meh my internet connection always sucks.,0,meh internet connection suck
Thats good. I hate it whe  people ruin things for other people,0,s good hate whe people ruin thing people
God damn the Mets hahah :(,0,god damn met hahah
Ah. Hate it when a good fantasy team winds down at the end of the season  but it happens quite a bit. No. 1 seed curse. #ffb,0,ah hate good fantasy team wind end season happen bit seed curse ffb
how gay would that be!,0,gay !
LOL damn. great article though. too bad it seems to be airplaning for someone :-),0,lol damn great article bad airplane
It was a great fucking song thougu,0,great fucking song thougu
That sucks. I wish you strength.,0,suck wish strength
The new B. Folds single sucks. It's a Regina Spektor song featuring Folds. It's so much her style not his.,0,new b fold single suck regina spektor song feature fold style
I still think I could design a better twitter client. If only I could program it. Damn you   Objective-C.,0,think design well twitter client program damn objectivec
You must not mind finger prints all over everything. I hate smudges on my CDs.,0,mind finger print hate smudge cd
can u please make sure you fed the damn thing too... hehehe,0,u sure feed damn thing hehehe
:)  I need a volunteer/guinea pig. Send one my way?,0,need volunteerguinea pig send way ?
He's been my guinea pig for years. Hopefully my prof credentials don't rest on that ;),0,guinea pig year hopefully prof credential rest
As much as I hate to resort to the old sub-standard of inquiry....  orly?,0,hate resort old substandard inquiry orly ?
FUCK YEAH!  You know what goes good with cookies  right?,0,fuck yeah ! know go good cookie right ?
Oh Jen  I'm so sorry. That really  really sucks. Try some disposable cameras for Disney.,0,oh jen sorry sucks try disposable camera disney
ass  I wanted that burger but my better judgement took control of the situation,0,ass want burger well judgement take control situation
pig pen is hotter :P,0,pig pen hotter p
you're killin' me. so  we can conquer the space-time continuum on mac and pc but we can't copy a fucking nested folder?,0,killin conquer spacetime continuum mac pc copy fucking nest folder ?
damn datz alot of tats but l00kin good beezy which one hurted da most?,0,damn datz alot tat lkin good beezy hurt da ?
LMAO life in the fast tweet lane. i never fail whale yet.but than again only 709 tweets.does that matter?,0,lmao life fast tweet lane fail whale yetbut tweetsdoe matter ?
I hate it when I have no day job and can't just sit around reading or writing.  *sigh*  :D,0,hate day job sit read write sigh d
head ass I'm in chicago actually with VMarie lol,0,head ass chicago actually vmarie lol
good luck with the event. Clearly you've been busting your ass for it. Hope it goes well!,0,good luck event clearly bust ass hope go !
Dude  that sucks. I dedicate this hot chocolate to you bro! Hmm... yummy!,0,dude suck dedicate hot chocolate bro ! hmm yummy !
It's latent hate over the fact that my bucs suck.,0,latent hate fact bucs suck
damn even I don't often do that much of a vat tour,0,damn vat tour
At least they only want a 3-5 minute promo. I hate when they want a 15 min promo- all aspects get covered  but it's too boring,0,want minute promo hate want min promo aspect cover boring
Can you believe we had another suburb wide Blackout - damn Christmas Lights!   Johnny Walker Blue Label by Candle light,0,believe suburb wide blackout damn christmas light ! johnny walker blue label candle light
Noah and the Whale!? That makes me think of Saturn commercials. :),0,noah whale ! ? make think saturn commercial
i hate you right now you woke me u last night and then i had a crappy sleep  i feel like shit now.,0,hate right wake u night crappy sleep feel like shit
lol!!  And for the record  that shit didn't do a damn thing to help.  Whatever.  ;),0,lol ! ! record shit damn thing help
just waiting.....aaahhhh.....too damn long,0,waitingaahhtoo damn long
I can understand if he want's to stop touring  maybe he wants to have a family or something but no touring sucks :(,0,understand want stop tour maybe want family touring suck
i hate u but not really,0,hate u
It even stopped between floors and alarm was going off. Some dude finally helped me. It was damn funny.,0,stop floor alarm go dude finally help damn funny
afraid not! But high fat patries just what's needed when feeling fragile  I'm pathetic Ive no stamina for nights out these days,0,afraid ! high fat patrie need feel fragile pathetic ve stamina night day
Wow! We won't be above freezing for several days..No need to share your frigid air  Canada! Pretty  but damn cold.,0,wow ! freeze daysno need share frigid air canada ! pretty damn cold
Matt this game sucks  we need some Sharks mojo!!!,0,matt game suck need shark mojo ! !
I hate Lucky Charms. Who really wants to grub on stale marshmallows? Gross.,0,hate lucky charm want grub stale marshmallow ? gross
I always watch My  Big Fat Greek Wedding when it's on.  I love Under the Tuscan Sun & Crossing Delancey too,0,watch big fat greek wedding love tuscan sun crossing delancey
I would have done the same but been a bitch about it lol,0,bitch lol
@katiebabs I am not the target demo for an emo teen movie so I suppose my op of the relative hotness of the actors matters not.,0,USER target demo emo teen movie suppose op relative hotness actor matter
I'm glad to know your trusty little saturn kicked snow's ass. Snow had it coming.,0,glad know trusty little saturn kick snow ass snow come
- damn I hate it when the weather doesn't help my team - and that is New York -north - should be cold and dreary - LOL,0,damn hate weather help team new york north cold dreary lol
- can't hate the skins - their owner sucks - like Al davis - both need to retire - but not give it to their kids.,0,hate skin owner suck like al davis need retire kid
fuck that...invite ME to the geriatric party!,0,fuck thatinvite geriatric party !
you and me both man...its not the destination thats in question its that damn journey...where is that pesky fast forward button?,0,manit destination s question damn journeywhere pesky fast forward button ?
I see you homie....Life's A Bitch 09': http://sharebee.com/c0756ec0,0,homielife bitch url
I got my system working in here. I'm multi-tasking my ass off!,0,get system work multitaske ass !
i ain cutting my phone off until i see developed land. i need gps tracking shit is damn near haiti!,0,ain cut phone develop land need gps tracking shit damn near haiti !
Damn  guess I ain't the only one having a shitty day...LOL Hopefully  I can restore my joint when I plug it up to iTunes.,0,damn guess ai have shitty daylol hopefully restore joint plug itune
still miami just got through customs. these fucking immagrants are driving me nuts! 2nd language my ass fuck em' all...,0,miami get custom fucking immagrant drive nut ! nd language ass fuck em
"your pal jaron""",0,pal jaron
Save a Fighter Pilot's Ass  by Oscar Brand. Funny shit.,0,save fighter pilot ass oscar brand funny shit
Isn't lovely? Fuck You Penguin FTW.,0,lovely ? fuck penguin ftw
look out for the best line &quot;damn the budget&quot;,0,look good line quotdamn budgetquot
Damn  I have no memory of that spin-off. I'm reading about it now and see Lamont went off to work on the Alaska Pipeline...,0,damn memory spinoff read lamont go work alaska pipeline
I'm working from home... but that's cuz I'm swamped and have a dental appt  not cuz I'm gay. :-),0,work home cuz swamp dental appt cuz gay
please don't hate. :-),0,hate
Ohhh  that sucks - talk about irony... Can you call anyone to pick it up & bring it to you?,0,ohh suck talk irony pick bring ?
FYI: That leggy gay moose is a Cariboo btw.. :) Happy holidays!,0,fyi leggy gay moose cariboo btw happy holiday !
definitely need to; part of my 09 goal  thinking spring time. Not moving in this weather. It will be damn sweet!,0,definitely need goal think spring time move weather damn sweet !
That's what I'm sayin' my man. We all know Taco Bell ain't fine dining  but DAMN. Free tacos? C'mon people.,0,sayin man know taco bell ai fine dining damn free taco ? c amon people
Hate them.,0,hate
Hopefully it's not layoffs.  and if it is  you better not be one.  you make kick ass sites.,0,hopefully layoff well kick ass site
damn show off with yer hacked iPhone!,0,damn yer hack iphone !
liked you last video  like your views =) + insomnia sucks lol,0,like video like view insomnia suck lol
damn right free wifi  everyday at work for me lol,0,damn right free wifi everyday work lol
Hot Damn!,0,hot damn !
The ass was feeling better. On the bus now about to die from all the bouncing. Ouch.,0,ass feel well bus die bounce ouch
Well  I'm not there yet so thankfully I only have to freak out from here. I call my contractor almost daily though. ;-),0,thankfully freak contractor daily
10 hours? Of sleep? In a row? Damn! That's merely a pipe dream for me. I haven't slept more than 4 hrs in a row in decades!,0,hour ? sleep ? row ? damn ! merely pipe dream sleep hrs row decade !
 well I have elf's on my side so you know your going to get you ass kicked,0,elf know go ass kick
he is cuz Syler killed him  he knows how to kill some one. Because he is bad ass  as he is &#252;ber. I think I like syler don't you.,0,cuz syler kill know kill bad ass ber think like syler
I had the same thing on the 24th. It sucks big time. Drink Gatorade!,0,thing th suck big time drink gatorade !
i was forced to watch the pats for too many years... FUCK THAT SHIT!!!!! haha,0,force watch pat year fuck shit ! ! haha
Sorry to hear that  lol. You are going to hate the keyboard for twitter & texting.,0,sorry hear lol go hate keyboard twitter texting
I own the 1st gen iPod touch and typing sucks. That's why the Storm commercial clowns the iPhone indirectly about the keyboard.,0,st gen ipod touch typing suck storm commercial clown iphone indirectly keyboard
LUCKY BITCH :(,0,lucky bitch
unemployment sucks in NJ. In Pa  they lookat you your highest quarter and pay you per week what you got in that qtr,0,unemployment suck nj pa lookat high quarter pay week get qtr
Twitter is going a little crazy today. API problems  stream problems  DM problems. No whale sightings to speak of though.,0,twitter go little crazy today api problem stream problem dm problem whale sighting speak
It completely kicked my ass. Many of my bits are quite tender today.,0,completely kick ass bit tender today
welcome to NJ! We aim to piss everyone else off.,0,welcome nj ! aim piss
ate there Friday and it literally blew my mind---so good--but its not a Fat Louis type of place--much different vibe,0,eat friday literally blow mindso goodbut fat louis type placemuch different vibe
oh no! Just read about your tree. So sorry  that absolutely sucks. :-(,0,oh ! read tree sorry absolutely suck
Now I ask ya  would you give a fuck what kind of pants the son-of-a-bitch who shot you was wearing?,0,ask ya fuck kind pant sonofabitch shoot wear ?
hate to say it but getting very close to relegation zone!,0,hate get close relegation zone !
HEY no talking about my ass!,0,hey talk ass !
you hate loud people  like us?,0,hate loud people like ?
that sucks. gonna replace it or build a new system all together?,0,suck go to replace build new system ?
"DAMN!!!!""",0,damn ! !
why does watching Will & Grace have to mean you're gay?,0,watch grace mean gay ?
because you HATE ME! I thought the 50% off sticker was a nice touch. (:,0,hate ! think sticker nice touch
And I see why you turned his ass down! Dis some bullshit!,0,turn ass ! dis bullshit !
Yes and I'm sure his monkey ass does too on the effin bus everydamnday!.,0,yes sure monkey ass effin bus everydamnday !
Hey Navi! Whats going on with your damn Twitter account? Same issues eh? 2009 Time for a new start!,0,hey navi ! s go damn twitter account ? issue eh ? time new start !
LMAO! That girl is syck! Hell I wasn't even born in 1977. Special ass!,0,lmao ! girl syck ! hell bear special ass !
Damn it  now I have that Kiss song in my head. (Fortunately  I like that one),0,damn kiss song head fortunately like
I really hate the countdown pack also rite I got these hot as six rings I would post a pic but my friend got them,0,hate countdown pack rite get hot ring post pic friend get
I guess congratulations are in order  but now you have to write a damn dissertation. What is the topic?,0,guess congratulation order write damn dissertation topic ?
Thanks but we have one in a bag somewhere. I hate to take yours just in case you need it sometime. Thanks for thinking of us.,0,thank bag hate case need thank thinking
 do you hate wikipedia?,0,hate wikipedia ?
hope ya get to feeling better. Sucks when I miss out on Lifegroup so I know how ya feel.,0,hope ya feel well suck miss lifegroup know ya feel
hahaha I knew you'd hate it,0,hahaha know hate
dude that sucks go steal a stapler or burn that mother down. We always include our Temps!,0,dude suck steal stapler burn mother include temp !
 hey  I didn't complain! Especially since today I am in total bitch mode!,0,hey complain ! especially today total bitch mode !
is a dirty dirty DM whore. Retweet. Please.,0,dirty dirty dm whore retweet
is a cock-measuring dirrrty DM whore.,0,cockmeasure dirrty dm whore
An appropriate tweet  considering the cock measuring. Shall we do it over you?,0,appropriate tweet consider cock measure shall ?
it still exists and all 90 000 of my comp. Employees use it. Hate it. Far too limited,0,exist comp employee use hate far limited
"""frankly my dear I don't give a damn"" :)  come and get it !",0,frankly dear damn come !
I'm sure you are not a loser !!!! it's always good to have a do nothing day!! sleep well ...peace,0,sure loser ! ! good day ! ! sleep peace
"""WATCH OUT. TOBY MAD."" Is this real? (please say yes  I need to live in a world where Big ASS Truck Rental and Storage can exist)",0,watch toby mad real ? yes need live world big ass truck rental storage exist
"Hey  checked out the new podcast  laughed my ass off. I missed you guys. ""Got a new ball belt  you're gonna love it."" Classic.",0,hey check new podcast laugh ass miss guy get new ball belt go to love classic
"""Well Ho-Ho-Whore!"" ""Gasp!"" Classic.",0,hohowhore ! gasp ! classic
// i hate you,0,hate
- it's a sweet deal and product. Customer service sucks pooh tho.,0,sweet deal product customer service suck pooh tho
Why bother doing anything? (Post-nerd procrastination?),0,bother ? postnerd procrastination ?
Why put off tomorrow what you can do today? (Nerd test 101.),0,tomorrow today ? nerd test
Cock-up theory a better one  Al - I made a mess of the 2.7 upgrade. I've done it again since on another blog - went perfectly :-),0,cockup theory well al mess upgrade blog go perfectly
I didn't know it was such a controversial cigar  you got people who love it  hate it and people who want to try it again LOL,0,know controversial cigar get people love hate people want try lol
tempted to ask what ass flakes are. dandruff? never- nevermind.,0,tempt ask ass flake dandruff ? nevermind
sorry it took so long but I am a Grizzlies fan. I am originally from Memphis. Things are looking up with Mayo and Gay in tow.,0,sorry take long grizzly fan originally memphis thing look mayo gay tow
damn that's close to where I work,0,damn close work
yeah  they wack right now... Need a big man and to get rid of sheed  iverson  and rip ass...,0,yeah wack right need big man rid sheed iverson rip ass
sucks but that's life  now we'll give all our tips to @martindeboer :),0,suck life tip USER
same here. fricken sucks.,0,fricken suck
piggy-chain is a keychain in the shape of a pig In which you push a button @ it turns into a flashlight.,0,piggychain keychain shape pig push button turn flashlight
I dunno.. but it's damn annoying.,0,dunno damn annoying
YAY! I'm thinking abt that again. Otherwise fone b blowin' up. Plus reading links on BB sometimes sucks.,0,yay ! think abt fone b blowin plus read link bb suck
SUCKS don't it?,0,suck ?
I hate the Dickens out of you. 12:30  tonight. Covert ops.,0,hate dicken tonight covert op
I hate the idea of purposeful personal branding. How about just have a personality and be yourself...online and off?,0,hate idea purposeful personal branding personality yourselfonline ?
actually if ur gay you have the same exact right to marry as if ur straight.,0,actually ur gay exact right marry ur straight
There are more Eagles & Cowboys fans in this world than any other football team.  I just hate football right about now.,0,eagle cowboy fan world football team hate football right
"Good ones! Mine is ""Merry Christmas  Kiss My Ass  Kiss Your Ass  Kiss His Ass  Happy Hannukah"" burst out laffing every time....",0,good one ! merry christmas kiss ass kiss ass kiss ass happy hannukah burst laffe time
He's not worth fretting over. There's better people who still love you up in this bitch.,0,worth fret well people love bitch
The movies are way better. Movie Light blows ass  though.,0,movie way well movie light blow ass
"Great! Now I've got that damn  ""Thank you for being a friend..."" song stuck in my head...your dream is my nightmare.",0,great ! get damn thank friend song stick headyour dream nightmare
Damn man  that sucks. Do you think you'll ever get another cat?,0,damn man suck think cat ?
He's kind of like a gay male version of Edith Ann I bet. http://tinyurl.com/6a8yrr,0,kind like gay male version edith ann bet URL
haha yeshhh you are  and you thought i was gonna think its gay -_-,0,haha yeshh think go to think gay
damn your doing that with your iPhone camera / wife  me both love it.,0,damn iphone camera wife love
And we are having a pig roast and beef and goodies tonight before midnight with some of the people - I'm going to be dead tomorow,0,have pig roast beef goody tonight midnight people go dead tomorow
Haha  dont cry when you drop him off. Hate to see him hit you with one of his remarks in a moment of weakness.,0,haha not cry drop hate hit remark moment weakness
Sylar/Peter? FUCK YEAH :P Us in the middle?,0,sylarpeter ? fuck yeah p middle ?
Haha yeah. Jack's already gay. We're just trying to get Zak to come out now XD,0,haha yeah jack gay try zak come xd
don't you hate emotions sometimes?  Sneaky things.,0,hate emotion ? sneaky thing
that damn camera!!! lmao,0,damn camera ! ! lmao
Beans are sadly gassy and cause pain. I might try non-fat yoghurt  though.,0,bean sadly gassy cause pain try nonfat yoghurt
My gluten-free  newly fat-free diet is also not avenaceous  though technically oats are not glutenous.,0,glutenfree newly fatfree diet avenaceous technically oat glutenous
"Yep. We are tweeting each other too. Mostly with messages like ""U R A NERD."" Indeed  he is the man of my dreams :-)",0,yep tweet message like u r nerd man dream
 :(  that sucks.,0,suck
"I am aware. Patient advocate in ED  patient  admin. Now preface launching into history with ""kind of in the industry."" Sucks.",0,aware patient advocate ed patient admin preface launch history kind industry suck
yes  i am sick too too too too sick.  it sucks.  i hate it.,0,yes sick sick suck hate
i may go with velour track suit.  just have to find one! because i hate shopping  even in the best of circumstances,0,velour track suit find ! hate shop good circumstance
 wow! that  is funny!  i'd be soo disgusted if anyone pulled that  on me! they'd be  bitch-slapped.,0,wow ! funny ! soo disgusted pull ! bitchslappe
Well fine  they can call them seat protectors in Great Britain but in the US of A they best call 'em ass protectors.,0,fine seat protector great britain well em ass protector
Damn dude -- they're all short sleeve shirts! Wanted to order a long-sleeve ringer. It's winter man! Any chance of adding?,0,damn dude short sleeve shirt ! want order longsleeve ringer winter man ! chance add ?
Ooooooh - didn't hear that story!  Have a bad feeling it likely makes us (Canada) look like wannabe dorks on the fashion radar..?,0,ooh hear story ! bad feeling likely make canada look like wannabe dork fashion radar ?
yes  i do hate that. ;),0,yes hate
we've been catching up on lost. the truth is i dont like it very much but it sucks you in because it's so freakin' weird.,0,catch lose truth not like suck freakin weird
Wow-this is fantastic!  How did I miss it until now? my resolution for '09.. loose my baby fat (not from childhood). #GNO,0,wowthis fantastic ! miss ? resolution loose baby fat childhood gno
hate emails??? for you?? i dont believe it,0,hate email ? ? ? ? not believe
i hate PC's too!! Argh :-),0,hate pc ! ! argh
it's actually a cool phone  great feel  good size  nice keyboard. Not sure if I'm staying with my Touch or changing. Hate decisions!,0,actually cool phone great feel good size nice keyboard sure stay touch change hate decision !
movie is surprisingly fucking awesome! go pick it up!,0,movie surprisingly fucking awesome ! pick !
How bad ass is that?! lol,0,bad ass ? ! lol
I hate Aaron.  He needs to go away.  Interesting Comments:  Chuck is the secret love child?  I CANNOT WAIT FOR NEW EPISODES!,0,hate aaron need away interesting comment chuck secret love child ? wait new episode !
don't get me started about my slumlord. Did you make it into work? It's NUTTY outside. I love this weather! (but hate winter ttc),0,start slumlord work ? nutty outside love weather ! hate winter ttc
I bet they hate their lives deep down. They always treat me like an idiot when I'm there.,0,bet hate life deep treat like idiot
hahaha i did txt him back and say gay u woke me up now i cant sleep hahaha wat are you doing? im so bored but cnt sleep haha,0,hahaha txt gay u wake not sleep hahaha wat ? m bored cnt sleep haha
Excellent Point RT: @tdhurst any good fraternity would have pickles always in stock. not so sure about the ass tattoos though.,0,excellent point rt USER good fraternity pickle stock sure ass tattoo
right there with you! woke up thinking of a hundred things I need to do. hate that!,0,right ! wake thinking thing need hate !
Fuck! Are you dead?,0,fuck ! dead ?
 Damn!  I better get busy  I only have 29 updates.,0,damn ! well busy update
i just love the speed & simplicity cum features of Google Chrome,0,love speed simplicity cum feature google chrome
Eeeek! I'm scared of the dark. I don't really believe in ghosts  but that would still freak me out.,0,eek ! scared dark believe ghost freak
You're right  I hate you for saying hat!,0,right hate say hat !
I hate having a bunch of pics in my camera roll,0,hate have bunch pic camera roll
Yayyyy! Damn irish bitch! Congratulations!,0,yayy ! damn irish bitch ! congratulation !
I gained this week too  I hate it b/c I knew it before I went in  and held my accountability and wi. It makes me determined,0,gain week hate bc know go hold accountability wi make determine
oh ok I know what the fail whale is then! Thanks!,0,oh ok know fail whale ! thank !
why can't I bitch about AT&T? I have it for god's sake. I hate the boys club...,0,bitch att ? god sake hate boy club
let's get ready to rumble lol what a loser he is. Let's get ready to never give him the mic again,0,let ready rumble lol loser let ready mic
You would hate to see my sister :/,0,hate sister
"~santi~""",0,santi
I feel really sad for the fourth  fat  cat who can't play in the tunnel!,0,feel sad fourth fat cat play tunnel !
Sure. Well  long day being going to five stores in a row. I hate shopping.,0,sure long day go store row hate shop
Well damn you just made this Jersey boy drool alittle. That's how I like to see my Jersey women step out. You have great feet 2,0,damn jersey boy drool alittle like jersey woman step great foot
Owww  I feel you babygirl. I swear country boys and girls are so fucking thirsty. You stay on your NJ shyt you will be fine!,0,oww feel babygirl swear country boy girl fucking thirsty stay nj shyt fine !
hmmm me either!!! well wait I've had like two... maybe more I dunno... I hate having my photo taken I do know that much!,0,hmm ! ! wait like maybe dunno hate have photo take know !
Tough love is key. Though I'd never do that to my brother because he has done so much for me  but she sounds like a bitch.,0,tough love key brother sound like bitch
Twitter updates my facebook status you big dick. That way I don't have to do both. Not everyone is nerdy as us with our twitter,0,twitter update facebook status big dick way nerdy twitter
the only thing i hate more than the man is a raging UTI.,0,thing hate man rage uti
If you really like Of Human Bondage  you'll love anything by Shakespeare. Sorry... I'm a Literature nerd and English major...,0,like human bondage love shakespeare sorry literature nerd english major
